Date,Clicks,Impressions,CTR,Position,CTR_decimal
2026-04-28,0.0,0.0,,,
2026-04-29,0.0,5.0,0%,44.2,0.0
2026-04-30,0.0,16.0,0%,12.9,0.0
2026-05-01,0.0,16.0,0%,10.8,0.0
2026-05-02,0.0,16.0,0%,12.7,0.0
2026-05-03,0.0,24.0,0%,13.8,0.0
2026-05-04,0.0,53.0,0%,10.9,0.0
2026-05-05,0.0,182.0,0%,13.3,0.0
2026-05-06,0.0,340.0,0%,16.6,0.0
2026-05-07,0.0,306.0,0%,23.7,0.0
2026-05-08,0.0,301.0,0%,20.1,0.0
2026-05-09,0.0,279.0,0%,18.8,0.0
2026-05-10,0.0,282.0,0%,21.7,0.0
2026-05-11,0.0,305.0,0%,17.7,0.0
2026-05-12,0.0,427.0,0%,17.6,0.0
2026-05-13,1.0,318.0,0.31%,27.0,0.0031
2026-05-14,1.0,303.0,0.33%,20.5,0.0033
2026-05-15,0.0,391.0,0%,14.4,0.0
2026-05-16,0.0,322.0,0%,21.7,0.0
2026-05-17,0.0,413.0,0%,18.7,0.0
2026-05-18,0.0,279.0,0%,30.2,0.0
2026-05-19,1.0,162.0,0.62%,58.6,0.0062
2026-05-20,1.0,158.0,0.63%,47.8,0.0063
2026-05-21,1.0,115.0,0.87%,44.8,0.0087
2026-05-22,0.0,106.0,0%,48.7,0.0
2026-05-23,0.0,117.0,0%,48.6,0.0
2026-05-24,0.0,136.0,0%,49.1,0.0
2026-05-25,2.0,143.0,1.4%,42.9,0.013999999999999999
2026-05-26,0.0,130.0,0%,48.9,0.0
