Top queries,Clicks,Impressions,CTR,Position,CTR_decimal,Band,Opportunity score,Recommended action
catholic encyclopedia rufinus melania the elder,0.0,14.0,0%,2.5,0.0,top 5,5.6,Metadata/snippet quick win.
britannica pseudo-dionysius corpus areopagiticum,0.0,30.0,0%,8.3,0.0,page 1,3.614457831325301,Add a Corpus Areopagiticum explainer section or question page.
diodore,0.0,3.0,0%,1.0,0.0,top 5,3.0,Metadata/snippet quick win.
palladius of galatia icon,0.0,3.0,0%,1.0,0.0,top 5,3.0,Metadata/snippet quick win.
third council of toledo arian bishops attended number,0.0,16.0,0%,8.62,0.0,page 1,1.8561484918793505,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
britannica rufinus of aquileia melania the elder,0.0,13.0,0%,7.92,0.0,page 1,1.6414141414141414,Metadata/snippet quick win.
toletum iii eight arian bishops,0.0,16.0,0%,10.5,0.0,page 2,1.5238095238095237,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
"""markus"" ""ignores"" augustine predestination",0.0,8.0,0%,7.0,0.0,page 1,1.1428571428571428,Metadata/snippet quick win.
shenoute,0.0,1.0,0%,1.0,0.0,top 5,1.0,Metadata/snippet quick win.
third council of toledo 589 arian bishops eight,0.0,7.0,0%,9.57,0.0,page 1,0.7314524555903866,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
third council of toledo 589 reccared,0.0,6.0,0%,9.0,0.0,page 1,0.6666666666666666,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
tertullian,0.0,45.0,0%,71.13,0.0,low rank,0.6326444538169549,Broad entity query; do not chase with metadata alone. Build richer question-led support pages.
"""markus"" ""ignores"" ""predestination"" augustine",0.0,4.0,0%,7.0,0.0,page 1,0.5714285714285714,Metadata/snippet quick win.
catholic encyclopedia judas iscariot kerioth,0.0,4.0,0%,7.25,0.0,page 1,0.5517241379310345,Metadata/snippet quick win.
"council of chalcedon ""peter has spoken through leo""",0.0,4.0,0%,8.25,0.0,page 1,0.48484848484848486,Metadata/snippet quick win.
"""markus"" ""ignores"" predestination augustine",0.0,4.0,0%,8.75,0.0,page 1,0.45714285714285713,Metadata/snippet quick win.
third council of toledo date,0.0,4.0,0%,9.5,0.0,page 1,0.42105263157894735,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
justin martyr,0.0,30.0,0%,71.4,0.0,low rank,0.4201680672268907,Broad entity query; do not chase with metadata alone. Build richer question-led support pages.
"""markus"" ""ignores"" ""predestination"" ""augustine""",0.0,3.0,0%,7.33,0.0,page 1,0.4092769440654843,Metadata/snippet quick win.
third council of toledo attendance 72 bishops source,0.0,4.0,0%,11.0,0.0,page 2,0.36363636363636365,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
third council of toledo opening date may 8 589,0.0,2.0,0%,6.0,0.0,page 1,0.3333333333333333,"Create/strengthen a Toledo III answer block matching the exact query, especially Arian-bishop count."
arius,0.0,24.0,0%,74.42,0.0,low rank,0.32249395323837676,Broad entity query; do not chase with metadata alone. Build richer question-led support pages.
britannica pseudo-dionysius the areopagite corpus areopagiticum,0.0,3.0,0%,9.33,0.0,page 1,0.3215434083601286,Add a Corpus Areopagiticum explainer section or question page.
historical events in 589 ad,0.0,3.0,0%,9.33,0.0,page 1,0.3215434083601286,Metadata/snippet quick win.
acacian schism,0.0,6.0,0%,19.67,0.0,page 2,0.3050330452465684,Needs stronger page section and internal links.
ignatius of antioch,0.0,23.0,0%,80.48,0.0,low rank,0.28578528827037775,Longer-term authority/content depth.
hippolytus of rome,0.0,17.0,0%,64.12,0.0,low rank,0.26512788521522146,Longer-term authority/content depth.
acacian,0.0,6.0,0%,22.83,0.0,striking distance,0.2628120893561104,Longer-term authority/content depth.
clement of alexandria,0.0,20.0,0%,79.4,0.0,low rank,0.2518891687657431,Longer-term authority/content depth.
patristic band,0.0,2.0,0%,8.5,0.0,page 1,0.23529411764705882,Metadata/snippet quick win.
evagrius ponticus,0.0,14.0,0%,62.57,0.0,low rank,0.2237494006712482,Longer-term authority/content depth.
chrysostom,0.0,19.0,0%,86.0,0.0,low rank,0.22093023255813954,Broad entity query; do not chase with metadata alone. Build richer question-led support pages.
maximus the confessor,0.0,16.0,0%,75.06,0.0,low rank,0.21316280309086064,Broad entity query; do not chase with metadata alone. Build richer question-led support pages.
clement of rome,0.0,15.0,0%,72.67,0.0,low rank,0.20641254988303287,Longer-term authority/content depth.
patristic,0.0,11.0,0%,56.36,0.0,low rank,0.19517388218594747,Longer-term authority/content depth.
pseudo dionysius the areopagite,0.0,12.0,0%,62.33,0.0,low rank,0.19252366436707846,Add a Corpus Areopagiticum explainer section or question page.
pope gregory i,0.0,14.0,0%,73.57,0.0,low rank,0.19029495718363465,Longer-term authority/content depth.
pelagius,0.0,16.0,0%,85.88,0.0,low rank,0.18630647414997673,Longer-term authority/content depth.
nestorius,0.0,12.0,0%,64.83,0.0,low rank,0.18509949097639983,Longer-term authority/content depth.
john chrysostom,0.0,16.0,0%,87.94,0.0,low rank,0.18194223334091428,Longer-term authority/content depth.
