Date,Clicks,Impressions,CTR,Position
2026-04-28,0,0,,
2026-04-29,0,5,0%,44.2
2026-04-30,0,16,0%,12.9
2026-05-01,0,16,0%,10.8
2026-05-02,0,16,0%,12.7
2026-05-03,0,24,0%,13.8
2026-05-04,0,53,0%,10.9
2026-05-05,0,182,0%,13.3
2026-05-06,0,340,0%,16.6
2026-05-07,0,306,0%,23.7
2026-05-08,0,301,0%,20.1
2026-05-09,0,279,0%,18.8
2026-05-10,0,282,0%,21.7
2026-05-11,0,305,0%,17.7
2026-05-12,0,427,0%,17.6
2026-05-13,1,318,0.31%,27
2026-05-14,1,303,0.33%,20.5
2026-05-15,0,391,0%,14.4
2026-05-16,0,322,0%,21.7
2026-05-17,0,413,0%,18.7
2026-05-18,0,279,0%,30.2
2026-05-19,1,162,0.62%,58.6
2026-05-20,1,158,0.63%,47.8
2026-05-21,1,115,0.87%,44.8
2026-05-22,0,106,0%,48.7
2026-05-23,0,117,0%,48.6
2026-05-24,0,136,0%,49.1
2026-05-25,2,143,1.4%,42.9
2026-05-26,0,130,0%,48.9
