Country,Clicks,Impressions,CTR,Position
United States,3,3015,0.1%,22.11
United Kingdom,1,411,0.24%,60.19
Italy,1,63,1.59%,13.59
Poland,1,28,3.57%,7.25
Mozambique,1,4,25%,6
Canada,0,248,0%,32.8
Australia,0,157,0%,40.65
Brazil,0,127,0%,11.66
Germany,0,107,0%,27.11
Vietnam,0,101,0%,38.13
India,0,87,0%,25.71
Netherlands,0,82,0%,32.99
Philippines,0,82,0%,33.71
China,0,71,0%,5.68
Spain,0,56,0%,9.46
Indonesia,0,45,0%,19.18
France,0,41,0%,11.8
Malaysia,0,38,0%,5.34
South Korea,0,38,0%,10.29
Russia,0,37,0%,27.62
Sweden,0,37,0%,28.65
Switzerland,0,36,0%,43.19
Austria,0,32,0%,34.59
Mexico,0,30,0%,16.67
Argentina,0,29,0%,18.28
Norway,0,28,0%,19.39
Romania,0,26,0%,14.42
Turkey,0,25,0%,17.48
Greece,0,24,0%,16.62
Japan,0,23,0%,6.7
Singapore,0,23,0%,16.22
Belgium,0,22,0%,14.95
Egypt,0,19,0%,23.16
Israel,0,18,0%,32.94
Colombia,0,17,0%,16
New Zealand,0,16,0%,44.06
Hong Kong,0,15,0%,19.13
Denmark,0,15,0%,35.13
Czechia,0,14,0%,12.86
Morocco,0,13,0%,13
Thailand,0,12,0%,7.25
Portugal,0,12,0%,11.33
Finland,0,12,0%,14.17
Ireland,0,12,0%,33.33
South Africa,0,12,0%,42.92
Peru,0,11,0%,11.18
Ukraine,0,10,0%,18.3
Hungary,0,8,0%,6.12
Serbia,0,8,0%,7
Croatia,0,8,0%,8.12
United Arab Emirates,0,8,0%,10.12
Ecuador,0,8,0%,14.5
Venezuela,0,8,0%,14.88
Iraq,0,8,0%,15.38
Bangladesh,0,8,0%,15.62
Slovakia,0,7,0%,7.86
Bulgaria,0,7,0%,19.43
Georgia,0,6,0%,5.5
Jamaica,0,6,0%,9
Algeria,0,6,0%,22.5
Pakistan,0,6,0%,31.83
Chile,0,5,0%,6.6
Malta,0,5,0%,9.4
Nigeria,0,5,0%,10.4
Luxembourg,0,5,0%,11
Taiwan,0,5,0%,16.2
Uruguay,0,5,0%,16.6
Saudi Arabia,0,5,0%,20.6
Lebanon,0,5,0%,30.6
Iran,0,5,0%,66.4
Estonia,0,4,0%,6.5
Bosnia & Herzegovina,0,4,0%,7
Cyprus,0,4,0%,8.75
Kazakhstan,0,4,0%,19
Dominican Republic,0,4,0%,22
Jordan,0,4,0%,28
Guatemala,0,4,0%,31.5
Tunisia,0,4,0%,39.5
Myanmar (Burma),0,3,0%,4
Costa Rica,0,3,0%,4.33
Bolivia,0,3,0%,5
Kenya,0,3,0%,5.67
Puerto Rico,0,3,0%,8.67
Senegal,0,3,0%,9
Uganda,0,3,0%,9.67
Lithuania,0,3,0%,10.67
Ethiopia,0,3,0%,30.33
Belarus,0,3,0%,33
Slovenia,0,2,0%,3
Uzbekistan,0,2,0%,3.5
Latvia,0,2,0%,4
Afghanistan,0,2,0%,5.5
Aruba,0,2,0%,7.5
Azerbaijan,0,2,0%,7.5
Armenia,0,2,0%,8.5
Sri Lanka,0,2,0%,9
Paraguay,0,2,0%,9
Ghana,0,2,0%,15.5
Nepal,0,2,0%,41
Bhutan,0,2,0%,45
Congo - Kinshasa,0,2,0%,45
Montenegro,0,2,0%,70
Cuba,0,1,0%,1
Palestine,0,1,0%,1
El Salvador,0,1,0%,1
Syria,0,1,0%,2
Gabon,0,1,0%,3
Barbados,0,1,0%,4
Congo - Brazzaville,0,1,0%,4
Bermuda,0,1,0%,5
Côte d’Ivoire,0,1,0%,5
Cameroon,0,1,0%,5
Albania,0,1,0%,6
Bahamas,0,1,0%,6
Cambodia,0,1,0%,6
Malawi,0,1,0%,6
Trinidad & Tobago,0,1,0%,6
Moldova,0,1,0%,7
Tanzania,0,1,0%,7
Unknown Region,0,1,0%,8
Palau,0,1,0%,9
Timor-Leste,0,1,0%,9
Macedonia,0,1,0%,10
Mali,0,1,0%,10
Sudan,0,1,0%,11
Suriname,0,1,0%,11
Togo,0,1,0%,22
Oman,0,1,0%,41
Bahrain,0,1,0%,85
