Top pages,Clicks,Impressions,CTR,Position
https://patristic.io/bishops,2,184,1.09%,9.08
https://patristic.io/,1,80,1.25%,28.77
https://patristic.io/fathers/clement-of-alexandria,1,70,1.43%,35.59
https://patristic.io/fathers/pachomius,1,35,2.86%,26.34
https://patristic.io/fathers/eusebius-of-caesarea?via=episcopal,1,7,14.29%,4.86
https://patristic.io/resources,1,3,33.33%,6.67
https://patristic.io/fathers/pseudo-barnabas,1,1,100%,11
https://patristic.io/events/council-of-toledo-iii,0,389,0%,7.92
https://patristic.io/fathers/hippolytus-of-rome,0,163,0%,18.09
https://patristic.io/fathers/pseudo-dionysius-the-areopagite,0,155,0%,33.1
https://patristic.io/fathers/tertullian,0,116,0%,52.65
https://patristic.io/fathers/evagrius-ponticus,0,110,0%,26.02
https://patristic.io/fathers/john-of-damascus,0,103,0%,10.75
https://patristic.io/fathers/basil-of-caesarea,0,101,0%,12.47
https://patristic.io/fathers/bede-the-venerable,0,99,0%,63.04
https://patristic.io/schisms,0,89,0%,17.01
https://patristic.io/fathers/pope-leo-i,0,85,0%,28.08
https://patristic.io/fathers/melania-the-elder,0,81,0%,5.49
https://patristic.io/fathers/maximus-the-confessor,0,81,0%,26.1
https://patristic.io/fathers/arius,0,79,0%,61.48
https://patristic.io/fathers/john-chrysostom,0,72,0%,64.64
https://patristic.io/fathers/justin-martyr,0,69,0%,63.78
https://patristic.io/fathers/gregory-the-great,0,67,0%,55.34
https://patristic.io/fathers/cyprian-of-carthage,0,65,0%,30.91
https://patristic.io/fathers/anthony-the-great,0,63,0%,26.57
https://patristic.io/fathers/rufinus-of-aquileia?via=episcopal,0,60,0%,9.88
https://patristic.io/fathers/lactantius,0,56,0%,17.62
https://patristic.io/fathers/augustine-of-hippo,0,56,0%,19.43
https://patristic.io/questions/earliest-bishops-of-rome,0,55,0%,3.62
https://patristic.io/fathers/theodoret-of-cyrus,0,55,0%,23.78
https://patristic.io/fathers/polycarp-of-smyrna,0,52,0%,34.02
https://patristic.io/fathers/clement-of-rome,0,52,0%,44.58
https://patristic.io/eras/apostolic-fathers,0,50,0%,52.34
https://patristic.io/fathers/diodore-of-tarsus,0,48,0%,7.23
https://patristic.io/fathers/origen-of-alexandria,0,48,0%,23.92
https://patristic.io/fathers/cyril-of-alexandria,0,48,0%,26.88
https://patristic.io/fathers/constantine-the-great,0,46,0%,25.41
https://patristic.io/eras,0,45,0%,36.49
https://patristic.io/fathers/isidore-of-seville,0,44,0%,40.16
https://patristic.io/fathers/ignatius-of-antioch,0,44,0%,64.02
https://patristic.io/eras/apostolic,0,43,0%,70.86
https://patristic.io/fathers/nestorius,0,42,0%,45.71
https://patristic.io/fathers/benedict-of-nursia,0,42,0%,47.38
https://patristic.io/fathers/paul-of-tarsus,0,42,0%,57.21
https://patristic.io/fathers/mark-the-evangelist,0,40,0%,15.9
https://patristic.io/fathers/martin-of-tours,0,40,0%,47.8
https://patristic.io/fathers/germanus-of-constantinople?via=episcopal,0,39,0%,8.08
https://patristic.io/events/acacian-schism-onset,0,39,0%,14.49
https://patristic.io/events/novatian-schism,0,38,0%,6.84
https://patristic.io/fathers/matthew-the-apostle,0,37,0%,21
https://patristic.io/fathers/mary-mother-of-jesus,0,37,0%,79.68
https://patristic.io/fathers/ephrem-the-syrian,0,34,0%,28.12
https://patristic.io/fathers/epiphanius-of-salamis,0,34,0%,45.47
https://patristic.io/eras/desert-fathers,0,33,0%,28.55
https://patristic.io/fathers/athanasius-of-alexandria,0,32,0%,28.56
https://patristic.io/today?d=2026-11-20,0,31,0%,6.58
https://patristic.io/fathers/jesus-of-nazareth,0,31,0%,68.71
https://patristic.io/fathers/augustine-of-hippo?via=documented_only,0,30,0%,6.7
https://patristic.io/fathers/gregory-of-nazianzus,0,30,0%,28.53
https://patristic.io/eras/ante-nicene,0,30,0%,47.13
https://patristic.io/fathers/theodore-of-mopsuestia,0,29,0%,31.62
https://patristic.io/fathers/john-cassian,0,28,0%,37.46
https://patristic.io/fathers/pelagius,0,28,0%,59.54
https://patristic.io/fathers/rufinus-of-aquileia,0,27,0%,8.44
https://patristic.io/fathers/mary-magdalene,0,27,0%,32.74
https://patristic.io/fathers/boethius,0,25,0%,35.32
https://patristic.io/fathers/prosper-of-aquitaine?via=documented_only,0,24,0%,14.33
https://patristic.io/fathers/eusebius-of-caesarea,0,24,0%,50.38
https://patristic.io/fathers/gregory-of-nyssa,0,24,0%,68.29
https://patristic.io/fathers/theodore-of-tarsus?via=episcopal,0,23,0%,13.35
https://patristic.io/books,0,21,0%,17.05
https://patristic.io/fathers/ambrose-of-milan,0,20,0%,13.2
https://patristic.io/fathers/pope-victor-i?via=episcopal,0,20,0%,37.45
https://patristic.io/fathers/sophronius-of-jerusalem?via=documented_only,0,19,0%,5.95
https://patristic.io/events/edict-of-milan,0,19,0%,71.58
https://patristic.io/fathers/jacob-of-serugh,0,18,0%,7
https://patristic.io/fathers/luke-the-evangelist,0,18,0%,7.33
https://patristic.io/fathers/prosper-of-aquitaine?via=pedagogical,0,18,0%,8.5
https://patristic.io/fathers/james-the-just,0,18,0%,12.83
https://patristic.io/fathers/peter-the-apostle,0,18,0%,37.67
https://patristic.io/eras/apologists,0,18,0%,48.89
https://patristic.io/today?d=2026-05-24,0,17,0%,10.94
https://patristic.io/fathers/john-the-apostle,0,16,0%,24.38
https://patristic.io/fathers/irenaeus-of-lyons,0,16,0%,39
https://patristic.io/eras/nicene,0,16,0%,39.31
https://patristic.io/fathers/papias-of-hierapolis?via=episcopal,0,16,0%,53.69
https://patristic.io/fathers/pope-leo-i?via=pedagogical,0,15,0%,7.07
https://patristic.io/fathers/didymus-the-blind,0,15,0%,9.93
https://patristic.io/fathers/shenoute-of-atripe,0,15,0%,10.4
https://patristic.io/fathers/john-climacus?via=episcopal,0,15,0%,12.93
https://patristic.io/fathers/jerome-of-stridon,0,15,0%,37.53
https://patristic.io/fathers/james-son-of-zebedee,0,15,0%,45.4
https://patristic.io/fathers/papias-of-hierapolis?via=pedagogical,0,14,0%,28.21
https://patristic.io/questions/best-church-fathers-to-read-first,0,13,0%,8.31
https://patristic.io/fathers/pope-anterus?via=episcopal,0,13,0%,9.23
https://patristic.io/fathers/apollinaris-of-laodicea,0,13,0%,13
https://patristic.io/events/council-of-ephesus,0,13,0%,15.38
https://patristic.io/fathers/ambrose-of-milan?via=documented_only,0,12,0%,4.17
https://patristic.io/fathers/julian-of-eclanum,0,12,0%,8.08
https://patristic.io/fathers/melania-the-elder?via=documented_only,0,11,0%,4.82
https://patristic.io/fathers/pseudo-dionysius-the-areopagite?via=pedagogical,0,11,0%,5.36
https://patristic.io/fathers/caelestius,0,11,0%,8
https://patristic.io/fathers/aristides-of-athens?via=documented_only,0,11,0%,17.27
https://patristic.io/fathers/pope-damasus-i,0,11,0%,66.91
https://patristic.io/fathers/melania-the-elder?via=pedagogical,0,10,0%,6.1
https://patristic.io/fathers/apollinaris-of-laodicea?via=episcopal,0,10,0%,8.1
https://patristic.io/fathers/john-of-damascus?via=pedagogical,0,10,0%,8.9
https://patristic.io/fathers/palladius-of-galatia?via=episcopal,0,10,0%,9.3
https://patristic.io/fathers/apollinaris-of-laodicea?via=documented_only,0,10,0%,14.6
https://patristic.io/fathers/basil-of-caesarea?via=episcopal,0,9,0%,4.33
https://patristic.io/fathers/arnobius-of-sicca,0,9,0%,5.44
https://patristic.io/fathers/pantaenus,0,9,0%,5.56
https://patristic.io/fathers/evodius-of-antioch?via=episcopal,0,9,0%,6.22
https://patristic.io/fathers/flavian-of-constantinople?via=documented_only,0,9,0%,6.44
https://patristic.io/fathers/pope-stephen-i?via=episcopal,0,9,0%,8
https://patristic.io/events/council-of-carthage-397,0,9,0%,15.11
https://patristic.io/questions/apostolic-succession-explained-simply,0,9,0%,22.56
https://patristic.io/fathers/pope-agatho?via=documented_only,0,9,0%,32.33
https://patristic.io/fathers/pope-dionysius,0,9,0%,36.78
https://patristic.io/fathers/tatian-the-assyrian,0,8,0%,5.25
https://patristic.io/fathers/polycrates-of-ephesus?via=documented_only,0,8,0%,5.38
https://patristic.io/fathers/theodore-of-mopsuestia?via=episcopal,0,8,0%,5.5
https://patristic.io/today?d=2025-04-29,0,8,0%,6.75
https://patristic.io/fathers/germanus-of-constantinople,0,8,0%,9.12
https://patristic.io/fathers/evagrius-ponticus?via=episcopal,0,8,0%,16.25
https://patristic.io/fathers/pope-victor-i,0,8,0%,17
https://patristic.io/start-here,0,8,0%,17.62
https://patristic.io/fathers/pope-leo-ii?via=episcopal,0,8,0%,22.62
https://patristic.io/events/council-of-constantinople-ii,0,8,0%,44.88
https://patristic.io/fathers/prosper-of-aquitaine,0,7,0%,4.57
https://patristic.io/fathers/severus-of-antioch,0,7,0%,5.43
https://patristic.io/eras/early-medieval,0,7,0%,5.86
https://patristic.io/fathers/sophronius-of-jerusalem?via=pedagogical,0,7,0%,6.14
https://patristic.io/fathers/hilary-of-poitiers,0,7,0%,6.71
https://patristic.io/fathers/constantine-the-great?via=pedagogical,0,7,0%,7.14
https://patristic.io/fathers/julian-of-eclanum?via=pedagogical,0,7,0%,7.14
https://patristic.io/fathers/judas-iscariot?via=episcopal,0,7,0%,7.29
https://patristic.io/fathers/constans-ii,0,7,0%,7.71
https://patristic.io/fathers/clement-of-rome?via=pedagogical,0,7,0%,8.57
https://patristic.io/fathers/mesrop-mashtots?via=documented_only,0,7,0%,8.57
https://patristic.io/fathers/judas-iscariot?via=pedagogical,0,7,0%,8.86
https://patristic.io/questions/early-christian-heresies-mapped,0,7,0%,9.86
https://patristic.io/today?d=2025-11-10,0,7,0%,12.71
https://patristic.io/events/council-of-nicaea-i,0,7,0%,61.57
https://patristic.io/calendar,0,6,0%,3.83
https://patristic.io/fathers/alexander-of-alexandria,0,6,0%,3.83
https://patristic.io/fathers/paulinus-of-nola,0,6,0%,4
https://patristic.io/fathers/ambrose-of-milan?via=episcopal,0,6,0%,4.83
https://patristic.io/fathers/eutychius-of-constantinople,0,6,0%,6.17
https://patristic.io/fathers/clement-of-alexandria?via=pedagogical,0,6,0%,6.83
https://patristic.io/fathers/basil-of-caesarea?via=pedagogical,0,6,0%,7.17
https://patristic.io/fathers/patrick-of-ireland,0,6,0%,8
https://patristic.io/fathers/egeria,0,6,0%,8.33
https://patristic.io/fathers/evagrius-ponticus?via=pedagogical,0,6,0%,8.5
https://patristic.io/fathers/pope-cornelius?via=episcopal,0,6,0%,12
https://patristic.io/directory,0,6,0%,22.33
https://patristic.io/fathers/novatian?via=documented_only,0,6,0%,42.33
https://patristic.io/events/council-of-constantinople-i,0,6,0%,52.33
https://patristic.io/fathers/ambrose-of-milan?via=pedagogical,0,5,0%,3.2
https://patristic.io/fathers/pambo-of-nitria,0,5,0%,4.4
https://patristic.io/fathers/eutychius-of-constantinople?via=documented_only,0,5,0%,4.6
https://patristic.io/fathers/judas-iscariot,0,5,0%,4.6
https://patristic.io/fathers/sophronius-of-jerusalem,0,5,0%,5.6
https://patristic.io/fathers/clement-of-rome?via=episcopal,0,5,0%,5.8
https://patristic.io/fathers/sophronius-of-jerusalem?via=episcopal,0,5,0%,6
https://patristic.io/fathers/john-climacus,0,5,0%,6.4
https://patristic.io/fathers/theophilus-of-antioch,0,5,0%,6.6
