Top queries,Clicks,Impressions,CTR,Position
tertullian,0,45,0%,71.13
britannica pseudo-dionysius corpus areopagiticum,0,30,0%,8.3
justin martyr,0,30,0%,71.4
arius,0,24,0%,74.42
ignatius of antioch,0,23,0%,80.48
clement of alexandria,0,20,0%,79.4
chrysostom,0,19,0%,86
hippolytus of rome,0,17,0%,64.12
third council of toledo arian bishops attended number,0,16,0%,8.62
toletum iii eight arian bishops,0,16,0%,10.5
maximus the confessor,0,16,0%,75.06
pelagius,0,16,0%,85.88
john chrysostom,0,16,0%,87.94
clement of rome,0,15,0%,72.67
catholic encyclopedia rufinus melania the elder,0,14,0%,2.5
evagrius ponticus,0,14,0%,62.57
pope gregory i,0,14,0%,73.57
gregory of nyssa,0,14,0%,86.21
britannica rufinus of aquileia melania the elder,0,13,0%,7.92
apostolic fathers,0,13,0%,72.85
venerable bede,0,13,0%,83.08
pseudo dionysius the areopagite,0,12,0%,62.33
nestorius,0,12,0%,64.83
anthony the great,0,12,0%,67.67
patristic,0,11,0%,56.36
evagrius,0,11,0%,70.82
the venerable bede,0,11,0%,72.18
pope gregory 1,0,11,0%,72.27
benedict of nursia,0,10,0%,76
pope leo 1,0,9,0%,53.33
paul tarsus,0,9,0%,60.22
dionysius the areopagite,0,9,0%,70.67
bede the venerable,0,9,0%,74.89
bede venerable,0,9,0%,78.78
"""markus"" ""ignores"" augustine predestination",0,8,0%,7
pope leo i,0,8,0%,60.25
basil of caesarea,0,8,0%,78.62
third council of toledo 589 arian bishops eight,0,7,0%,9.57
theodoret,0,7,0%,60
apostolic age,0,7,0%,68.14
patristic era,0,7,0%,71
cyprian,0,7,0%,74.14
origen of alexandria,0,7,0%,74.71
lactantius,0,7,0%,76
papias,0,7,0%,76.86
isidore of seville,0,7,0%,78.71
third council of toledo 589 reccared,0,6,0%,9
acacian schism,0,6,0%,19.67
acacian,0,6,0%,22.83
epiphanius,0,6,0%,63.83
cyril of alexandria,0,6,0%,70.17
ephrem,0,6,0%,73
irenaeus of lyons,0,6,0%,76.83
john cassian,0,6,0%,77.33
justin the martyr,0,6,0%,77.33
gregory i,0,6,0%,78.33
eusebius of caesarea,0,6,0%,79
martin of tours,0,6,0%,86.83
pachomius,0,6,0%,89.5
priest arius,0,5,0%,44
theodoret of cyrus,0,5,0%,49.6
ante nicene period,0,5,0%,58.2
tertullianus,0,5,0%,60.8
leo i,0,5,0%,62.6
jesus of nazareth person,0,5,0%,63.8
apostolic period,0,5,0%,64.6
leo 1,0,5,0%,66.6
patristic period,0,5,0%,68.6
dionysius areopagite,0,5,0%,72.2
polycarp of smyrna,0,5,0%,72.2
james zebedee,0,5,0%,73.8
who was arius,0,5,0%,73.8
evagrius of pontus,0,5,0%,76.8
edict of milan 313,0,5,0%,78.4
cyprian of carthage,0,5,0%,79
areopagite,0,5,0%,83
st bede the venerable,0,5,0%,85.4
"""markus"" ""ignores"" ""predestination"" augustine",0,4,0%,7
catholic encyclopedia judas iscariot kerioth,0,4,0%,7.25
"council of chalcedon ""peter has spoken through leo""",0,4,0%,8.25
"""markus"" ""ignores"" predestination augustine",0,4,0%,8.75
third council of toledo date,0,4,0%,9.5
third council of toledo attendance 72 bishops source,0,4,0%,11
prosper of aquitaine,0,4,0%,49.5
ante-nicene period,0,4,0%,53.25
patristic era definition,0,4,0%,55
patristic theology books,0,4,0%,55.5
ante nicene,0,4,0%,57.5
pope victor i,0,4,0%,59.5
theodoret of cyrrhus,0,4,0%,61.5
pseudo dionysius,0,4,0%,64.25
who were the apostolic fathers,0,4,0%,64.75
justin martyr death,0,4,0%,66
pseudo-dionysius the areopagite,0,4,0%,66.75
apostolic era,0,4,0%,67.25
mary magdalene disciple,0,4,0%,68
nestorius meaning,0,4,0%,68
john chrysostomos,0,4,0%,68.5
pope gregory,0,4,0%,70
saint nestorius,0,4,0%,70
damasus i,0,4,0%,72.5
pope damasus i,0,4,0%,72.5
the apostolic fathers,0,4,0%,72.5
tertullian church father,0,4,0%,74
desert fathers,0,4,0%,74.25
martin av tours,0,4,0%,75
monk bede,0,4,0%,77.5
nursia,0,4,0%,77.75
who is jesus of nazareth,0,4,0%,78
arius of alexandria,0,4,0%,78.75
mary magdalene parents,0,4,0%,78.75
st. bede the venerable,0,4,0%,81
venerablebede,0,4,0%,82.25
gregory of nazianzus,0,4,0%,86.75
st epiphanius,0,4,0%,88.75
diodore,0,3,0%,1
palladius of galatia icon,0,3,0%,1
"""markus"" ""ignores"" ""predestination"" ""augustine""",0,3,0%,7.33
britannica pseudo-dionysius the areopagite corpus areopagiticum,0,3,0%,9.33
historical events in 589 ad,0,3,0%,9.33
ante nicene creed,0,3,0%,32
pope zephyrinus,0,3,0%,34.67
marcellus of ancyra,0,3,0%,38.33
second council of constantinople,0,3,0%,52
epiphanius of salamis,0,3,0%,57.67
pseudo-dionysius,0,3,0%,58.67
the apologists,0,3,0%,61.33
chrysostomos meaning,0,3,0%,61.67
pope agatho,0,3,0%,61.67
who was tertullian,0,3,0%,62
pseudo dionysius of tel mahre,0,3,0%,63
apologists,0,3,0%,65.33
tertullian heretic,0,3,0%,67
was peter the first bishop of rome,0,3,0%,67
arius the heretic,0,3,0%,68.33
novatian,0,3,0%,68.67
papias of hierapolis,0,3,0%,68.67
who was jesus of nazareth,0,3,0%,68.67
origin of alexandria,0,3,0%,69
constantine 313,0,3,0%,69.33
apostolic father,0,3,0%,70.33
nestorian priest,0,3,0%,70.33
who was justin martyr,0,3,0%,70.67
theodore of mopsuestia,0,3,0%,71
st. polycarp of smyrna,0,3,0%,74
tertullian of carthage,0,3,0%,77
tarsus paul,0,3,0%,77.33
apostolic age definition,0,3,0%,77.67
maximus confessor,0,3,0%,77.67
theodore in bible,0,3,0%,78
who is venerable bede,0,3,0%,79
evangelist mark,0,3,0%,79.33
cassian john,0,3,0%,80
athanasius of alexandria,0,3,0%,80.67
gregory nazianzus,0,3,0%,81.67
who is arius,0,3,0%,81.67
anthony of egypt,0,3,0%,83
how old were the apostles,0,3,0%,87.33
st hippolytus,0,3,0%,89.33
saint isidore of seville,0,3,0%,93
martin de tours,0,3,0%,95.33
cyrus the great,0,3,0%,105.67
third council of toledo opening date may 8 589,0,2,0%,6
patristic band,0,2,0%,8.5
third council of toledo,0,2,0%,24
diodore of tarsus,0,2,0%,24.5
pope anterus,0,2,0%,30
dionysius of rome,0,2,0%,31.5
acacius rome,0,2,0%,34
sozomen,0,2,0%,42
lucius i,0,2,0%,46
pope dionysius,0,2,0%,47.5
theodore of tarsus,0,2,0%,48.5
arius presbyter of alexandria,0,2,0%,50.5
leo's tome,0,2,0%,52.5
eusebius pamphilius,0,2,0%,53
constantine 325 ad,0,2,0%,53.5
fr bede,0,2,0%,53.5
leo father,0,2,0%,55.5
who was pseudo-dionysius,0,2,0%,56
list of apostolic fathers,0,2,0%,57
ante-nicene,0,2,0%,57.5
pope celestine i,0,2,0%,59
who is pseudo dionysius,0,2,0%,61
patristic age,0,2,0%,61.5
mother christ,0,2,0%,62.5
hippolytus,0,2,0%,63.5
who was dionysius,0,2,0%,63.5
how did justin martyr die,0,2,0%,65
victor i pope,0,2,0%,66
venerable english monk,0,2,0%,67
313 edict of milan,0,2,0%,69
macarius the great,0,2,0%,69
bishop of antioch,0,2,0%,69.5
the patristic period,0,2,0%,69.5
cyprian church father,0,2,0%,70
paul of tarsus,0,2,0%,70
chrysostom john,0,2,0%,70.5
arius council of nicaea,0,2,0%,71
church father tertullian,0,2,0%,71
death of arius,0,2,0%,71
anicetus,0,2,0%,71.5
who is tertullian,0,2,0%,71.5
heretic arius,0,2,0%,72
nestorius definition,0,2,0%,72
polycarp smyrna,0,2,0%,73
pope damasus,0,2,0%,73
ven bede,0,2,0%,73
venerable bead,0,2,0%,73.5
who were the apologists,0,2,0%,73.5
nicene,0,2,0%,74
theodore mopsuestia,0,2,0%,74
apostolic church fathers,0,2,0%,74.5
gregory the first,0,2,0%,74.5
arius alexandria,0,2,0%,75.5
how old were the apostles when they were called,0,2,0%,75.5
polycarp bishop of smyrna,0,2,0%,76
who was pelagius,0,2,0%,76
clement alexandria,0,2,0%,76.5
isidore,0,2,0%,76.5
jesus of nazareth information,0,2,0%,76.5
apostolic lineage,0,2,0%,77
of tarsus,0,2,0%,77.5
bede monk,0,2,0%,79
apostolic age timeline,0,2,0%,80
st. epiphanius,0,2,0%,80
arius council of nicea,0,2,0%,80.5
nazianzus,0,2,0%,81
saint bede the venerable,0,2,0%,81
saint justin martyr,0,2,0%,81
serapion,0,2,0%,81
gregory nyssa,0,2,0%,81.5
john of chrysostom,0,2,0%,81.5
apostolic fathers list,0,2,0%,82
saint polycarp of smyrna,0,2,0%,82
st boethius,0,2,0%,82
